accommodates,neighbourhood_cleansed,latitude,longitude,bathrooms,bedrooms,beds,minimum_nights,maximum_nights,number_of_reviews,price,room_type,dist_to_cristo_km,price_per_person,price_category,log_price
3,Lagoa,-22.96755,-43.20433,1.5,1.0,2.0,2,15,26,377.0,Entire home/apt,1.8513158072963694,125.66666666666667,300-500,5.934894195619588
4,Copacabana,-22.97764,-43.19085,1.0,1.0,2.0,3,280,62,179.0,Entire home/apt,3.4984743227714463,44.75,100-200,5.19295685089021
2,Leblon,-22.98268432416968,-43.22198129949188,2.0,1.0,1.0,1,90,5,328.0,Entire home/apt,3.619260514341199,164.0,300-500,5.796057750765372
5,Maracanã,-22.9147,-43.23317,2.0,3.0,5.0,5,30,0,900.0,Entire home/apt,4.743394694109266,180.0,500-1000,6.803505257608338
5,Copacabana,-22.96736,-43.17821,1.5,2.0,3.0,3,30,21,400.0,Entire home/apt,3.726278630528564,80.0,300-500,5.993961427306569
2,Botafogo,-22.95086,-43.17733,2.0,1.0,1.0,2,30,47,260.0,Private room,3.398320820934335,130.0,200-300,5.564520407322694
2,Ipanema,-22.98361,-43.19856,1.0,1.0,1.0,2,30,60,214.0,Private room,3.731878130086619,107.0,200-300,5.3706380281276624
3,Copacabana,-22.9625265,-43.176771,1.0,1.0,1.0,3,90,7,338.0,Entire home/apt,3.649995035474655,112.66666666666667,300-500,5.82600010738045
2,Copacabana,-22.96264,-43.17572,1.0,1.0,1.0,2,30,9,280.0,Private room,3.7559639105455203,140.0,200-300,5.638354669333745
3,Leblon,-22.98405,-43.22943,1.0,1.0,1.0,2,29,43,342.0,Entire home/apt,4.066455753569302,114.0,300-500,5.83773044716594
2,Flamengo,-22.93279,-43.17675,1.0,0.0,1.0,4,30,0,807.0,Entire home/apt,4.056979608402821,403.5,500-1000,6.694562058521095
1,Tijuca,-22.94562,-43.25517,1.5,1.0,1.0,2,5,12,172.0,Private room,4.626950556242919,172.0,100-200,5.153291594497779
3,Copacabana,-22.97031,-43.18833,1.0,0.0,2.0,3,90,26,400.0,Entire home/apt,3.0566225033479797,133.33333333333334,300-500,5.993961427306569
8,Copacabana,-22.97915,-43.19187,2.0,3.0,4.0,2,90,31,873.0,Entire home/apt,3.580409325314845,109.125,500-1000,6.773080375655535
8,Copacabana,-22.98268,-43.1893,3.0,3.0,4.0,2,90,31,789.0,Entire home/apt,4.052771333967687,98.625,500-1000,6.672032945461067
2,Copacabana,-22.98401260375977,-43.19083786010742,1.0,0.0,1.0,1,28,66,236.0,Entire home/apt,4.0990860115803445,118.0,200-300,5.4680601411351315
3,Copacabana,-22.97079,-43.18791,1.0,0.0,2.0,4,89,11,289.0,Entire home/apt,3.124317316250508,96.33333333333333,200-300,5.66988092298052
6,Barra da Tijuca,-23.0087227,-43.36754699999999,2.0,2.0,3.0,1,90,2,662.0,Entire home/apt,17.273992460022587,110.33333333333333,500-1000,6.4967749901858625
2,Copacabana,-22.97412,-43.18891,1.0,1.0,1.0,1,40,56,160.0,Entire home/apt,3.3152290867403997,80.0,100-200,5.081404364984463
4,Flamengo,-22.93102,-43.17601,1.0,1.0,4.0,3,90,13,140.0,Entire home/apt,4.226572821290792,35.0,100-200,4.948759890378168
5,Copacabana,-22.98431,-43.19319,1.5,2.0,5.0,4,30,11,1117.0,Entire home/apt,4.015997507342843,223.4,>1000,7.0192966537150445
1,Tijuca,-22.94494,-43.26093,2.0,1.0,5.0,1,365,5,68.0,Shared room,5.22142989334339,68.0,<100,4.23410650459726
1,Tijuca,-22.94362,-43.26139,2.0,1.0,5.0,1,365,9,68.0,Shared room,5.291595710433776,68.0,<100,4.23410650459726
1,Tijuca,-22.94451,-43.259,1.5,1.0,5.0,1,365,7,68.0,Shared room,5.033668486868165,68.0,<100,4.23410650459726
4,Ipanema,-22.98357,-43.20055,1.0,1.0,2.0,5,365,9,514.0,Entire home/apt,3.6659209918397035,128.5,500-1000,6.244166900663736
5,Lagoa,-22.96718,-43.2189,2.0,3.0,3.0,3,20,2,644.0,Entire home/apt,1.9043304448047507,128.8,500-1000,6.4692503167957724
4,Copacabana,-22.9654,-43.18047,1.5,2.0,2.0,2,90,10,445.0,Entire home/apt,3.4215530874199476,111.25,300-500,6.100318952020064
6,Copacabana,-22.98376,-43.1923,2.0,2.0,3.0,2,90,36,778.0,Entire home/apt,4.00280518686446,129.66666666666666,500-1000,6.658011045870748
3,Copacabana,-22.97181,-43.18758,1.0,1.0,2.0,1,3,2,500.0,Entire home/apt,3.226155383704449,166.66666666666666,300-500,6.2166061010848646
4,Copacabana,-22.97347,-43.19422,2.0,2.0,2.0,4,90,3,980.0,Entire home/apt,2.920775058286787,245.0,500-1000,6.8885724595653635
2,Botafogo,-22.94632,-43.18156,1.0,1.0,2.0,2,92,23,240.0,Entire home/apt,3.0275445062499284,120.0,200-300,5.484796933490655
4,Lagoa,-22.9737,-43.20747,2.0,3.0,3.0,2,30,6,729.0,Entire home/apt,2.443819445689863,182.25,500-1000,6.593044534142437
2,Copacabana,-22.9647,-43.18295,1.0,1.0,1.0,3,40,15,405.0,Private room,3.1595056664636765,202.5,300-500,6.0063531596017325
2,Santa Teresa,-22.93373,-43.19836,1.0,1.0,1.0,1,90,0,300.0,Private room,2.3722171572013195,150.0,200-300,5.707110264748875
2,Copacabana,-22.96465,-43.18288,3.0,1.0,1.0,3,40,20,460.0,Private room,3.1634108696210164,230.0,300-500,6.133398042996649
2,Santa Teresa,-22.91759,-43.18204,1.0,1.0,1.0,3,30,21,99.0,Private room,4.800932217285736,49.5,<100,4.605170185988092
6,Jacarepaguá,-22.96577,-43.38654,2.0,2.0,4.0,3,210,42,398.0,Entire home/apt,18.09000982400315,66.33333333333333,300-500,5.988961416889864
4,Copacabana,-22.9669143,-43.1803669,1.0,0.0,1.0,3,90,37,175.0,Entire home/apt,3.5079658706726664,43.75,100-200,5.170483995038151
2,Copacabana,-22.97567,-43.19488,1.0,1.0,2.0,1,45,0,558.0,Private room,3.089256154448546,279.0,500-1000,6.326149473155099
5,Copacabana,-22.97957,-43.18921,2.0,2.0,3.0,3,365,15,515.0,Entire home/apt,3.770619251364194,103.0,500-1000,6.246106765481563
4,Barra da Tijuca,-23.01197,-43.3041,2.5,2.0,2.0,5,90,2,333.0,Entire home/apt,11.680129728136128,83.25,300-500,5.8111409929767
2,Botafogo,-22.95492,-43.19221,1.5,1.0,2.0,2,180,6,270.0,Entire home/apt,1.902596704513688,135.0,200-300,5.602118820879701
4,Ipanema,-22.98058,-43.20341,2.0,2.0,3.0,2,365,47,636.0,Entire home/apt,3.2706382856308513,159.0,500-1000,6.456769655572163
6,Tijuca,-22.91726,-43.22885,2.0,2.0,2.0,3,30,0,801.0,Entire home/apt,4.285725179836976,133.5,500-1000,6.687108607866515
7,Copacabana,-22.98277,-43.19317,1.5,2.0,3.0,4,60,41,650.0,Entire home/apt,3.8640155902915727,92.85714285714286,500-1000,6.478509642208569
6,Jardim Botânico,-22.96309,-43.21916,2.0,3.0,3.0,4,24,1,850.0,Entire home/apt,1.5278767717670299,141.66666666666666,500-1000,6.7464121285733745
6,Barra da Tijuca,-23.00082,-43.36006,2.5,3.0,6.0,4,30,23,900.0,Entire home/apt,16.248551472989043,150.0,500-1000,6.803505257608338
4,Copacabana,-22.96294,-43.1803,1.0,1.0,2.0,2,30,17,767.0,Entire home/apt,3.326878836740992,191.75,500-1000,6.643789733147672
2,Copacabana,-22.97664,-43.19326,2.5,1.0,1.0,4,30,0,1050.0,Private room,3.2685294040284565,525.0,>1000,6.957497370876951
7,Botafogo,-22.95173,-43.17653,3.0,3.0,4.0,5,365,4,420.0,Entire home/apt,3.4783066495558184,60.0,300-500,6.042632833682381
